Mineral,reporterISO,partnerISO,Exporter,Importer,hs_codes,stage,trade_value_usd,mirror,source_lat,source_lng,target_lat,target_lng
Graphite,IND,CHL,India,Chile,380110,Processed,300.848,direct,20.593684,78.96288,-35.675147,-71.542969
Graphite,IND,ZMB,India,Zambia,380110,Processed,251.882,mirror,20.593684,78.96288,-13.133897,27.849332
Graphite,IND,ESP,India,Spain,380110,Processed,103.216,direct,20.593684,78.96288,40.463667,-3.74922
Graphite,IND,SVN,India,Slovenia,380110,Processed,80.0,mirror,20.593684,78.96288,46.151241,14.995463
Graphite,IND,S19,India,"Other Asia, nes",380110,Processed,62.304,mirror,20.593684,78.96288,,
Graphite,IND,CZE,India,Czechia,380110,Processed,28.0,mirror,20.593684,78.96288,49.817492,15.472962
Graphite,IND,COL,India,Colombia,380110,Processed,8.002,direct,20.593684,78.96288,4.570868,-74.297333
Graphite,IDN,USA,Indonesia,USA,380110,Processed,1062562.0,direct,-0.789275,113.921327,37.09024,-95.712891
Graphite,IDN,THA,Indonesia,Thailand,380110|380120,Processed,647808.68,direct,-0.789275,113.921327,15.870032,100.992541
Graphite,IDN,JPN,Indonesia,Japan,380110,Processed,393124.12,direct,-0.789275,113.921327,36.204824,138.252924
Graphite,IDN,CAN,Indonesia,Canada,380110,Processed,354006.0,direct,-0.789275,113.921327,56.130366,-106.346771
Graphite,IDN,MYS,Indonesia,Malaysia,380110,Processed,282400.158,mirror,-0.789275,113.921327,4.210484,101.975766
Graphite,IDN,KOR,Indonesia,Rep. of Korea,380110,Processed,230736.0,direct,-0.789275,113.921327,35.907757,127.766922
Graphite,IDN,IND,Indonesia,India,380110,Processed,85200.0,direct,-0.789275,113.921327,20.593684,78.96288
Graphite,IDN,DEU,Indonesia,Germany,380110,Processed,30000.0,direct,-0.789275,113.921327,51.165691,10.451526
Graphite,IDN,POL,Indonesia,Poland,380110,Processed,24448.0,mirror,-0.789275,113.921327,51.919438,19.145136
Graphite,IDN,CHN,Indonesia,China,380110,Processed,19000.0,direct,-0.789275,113.921327,35.86166,104.195397
Graphite,IDN,SGP,Indonesia,Singapore,380110|380120,Processed,9773.66,direct,-0.789275,113.921327,1.352083,103.819836
Graphite,IDN,NZL,Indonesia,New Zealand,380120,Processed,3704.88,direct,-0.789275,113.921327,-40.900557,174.885971
Graphite,IDN,AUS,Indonesia,Australia,380120,Processed,1115.32,direct,-0.789275,113.921327,-25.274398,133.775136
Graphite,IRL,IND,Ireland,India,380120,Processed,462341.948,mirror,53.41291,-8.24389,20.593684,78.96288
Graphite,IRL,ISL,Ireland,Iceland,380110,Processed,37330.346,mirror,53.41291,-8.24389,64.963051,-19.020835
Graphite,IRL,USA,Ireland,USA,380110,Processed,145.039,direct,53.41291,-8.24389,37.09024,-95.712891
Graphite,IRL,GBR,Ireland,United Kingdom,380110,Processed,77.931,direct,53.41291,-8.24389,55.378051,-3.435973
Graphite,IRL,NLD,Ireland,Netherlands,380110,Processed,2.165,mirror,53.41291,-8.24389,52.132633,5.291266
Graphite,ISR,CZE,Israel,Czechia,380110,Processed,82972.0,mirror,31.046051,34.851612,49.817492,15.472962
Graphite,ISR,DEU,Israel,Germany,380110,Processed,19000.0,direct,31.046051,34.851612,51.165691,10.451526
Graphite,ISR,ISL,Israel,Iceland,380110,Processed,3363.653,mirror,31.046051,34.851612,64.963051,-19.020835
Graphite,ISR,CHN,Israel,China,380110,Processed,1754.0,mirror,31.046051,34.851612,35.86166,104.195397
Graphite,ISR,AUT,Israel,Austria,380120,Processed,54.119,mirror,31.046051,34.851612,47.516231,14.550072
Graphite,ITA,FRA,Italy,France,380110|380120,Processed,2552057.647,direct,41.87194,12.56738,46.227638,2.213749
Graphite,ITA,ESP,Italy,Spain,380110|380120,Processed,1150587.707,direct,41.87194,12.56738,40.463667,-3.74922
Graphite,ITA,DEU,Italy,Germany,380110|380120,Processed,990647.402,direct,41.87194,12.56738,51.165691,10.451526
Graphite,ITA,BEL,Italy,Belgium,380110|380120,Processed,872655.63,direct,41.87194,12.56738,50.503887,4.469936
Graphite,ITA,CZE,Italy,Czechia,380110|380120,Processed,823278.712,direct,41.87194,12.56738,49.817492,15.472962
Graphite,ITA,TUR,Italy,Türkiye,380110|380120,Processed,773476.6710000001,direct,41.87194,12.56738,38.963745,35.243322
Graphite,ITA,POL,Italy,Poland,380110|380120,Processed,569546.26,direct,41.87194,12.56738,51.919438,19.145136
Graphite,ITA,CHN,Italy,China,380110|380120,Processed,492256.198,direct,41.87194,12.56738,35.86166,104.195397
Graphite,ITA,MEX,Italy,Mexico,380110|380120,Processed,481325.663,direct,41.87194,12.56738,23.634501,-102.552784
